Male_SC,Female_SC,Male_ED,Female_ED,18-20_SC,21-over26_SC,18-20_ED,21-Over26_ED,Hispanic_SC,Black_SC,Asian_SC,Hispanic_ED,Black_ED,Asian_ED,Het_SC,NonHet_SC,Het_ED,NonHet_SC,"Below49,999_SC","Above50,000_SC","Below49,999_ED","Above50,000_ED"
3,2.653846154,1.117647059,1.705882353,3.307692308,2.653846154,1,1.705882353,2.769230769,2.653846154,2.692307692,1.294117647,1.705882353,3,2.653846154,2.692307692,1.705882353,3,3.307692308,2.653846154,1,1.705882353
2.346153846,3.307692308,1.647058824,1,3.153846154,3,2.117647059,1.117647059,,3,3.153846154,,1.117647059,2.117647059,3,2.230769231,1.117647059,2.176470588,3.192307692,3,2.235294118,1.117647059
,2.692307692,,3,2.230769231,2.692307692,2.176470588,3,,3.307692308,2.961538462,,1,1.529411765,3.307692308,2.961538462,1,1.529411765,3.153846154,2.692307692,2.117647059,3
,3.192307692,,2.235294118,3.423076923,3.192307692,1,2.235294118,,3.192307692,2.653846154,,2.235294118,1.058823529,3.192307692,2.653846154,2.235294118,1.058823529,2.230769231,3.423076923,2.176470588,1
,3.153846154,,2.117647059,1.730769231,2.692307692,1.058823529,1.352941176,,2.230769231,2.692307692,,2.176470588,1.352941176,3.153846154,2.769230769,2.117647059,1.294117647,2.961538462,1.730769231,1.529411765,1.058823529
,2.230769231,,2.176470588,2.961538462,2.346153846,1.529411765,1.647058824,,3.423076923,2.346153846,,1,1.647058824,3.423076923,,1,,2.653846154,2.692307692,1.058823529,1.352941176
,3.423076923,,1,2.653846154,3.68,1.058823529,1.470588235,,1.730769231,3.68,,1.058823529,1.470588235,1.730769231,,1.058823529,,2.346153846,2.769230769,1.647058824,1.294117647
,1.730769231,,1.058823529,2.769230769,,1.294117647,,,3.653846154,,,1.352941176,,2.692307692,,1.352941176,,,3.68,,1.470588235
,2.961538462,,1.529411765,3.653846154,,1.352941176,,,,,,,,2.346153846,,1.647058824,,,3.653846154,,1.352941176
,2.653846154,,1.058823529,,,,,,,,,,,3.68,,1.470588235,,,,,
,2.692307692,,1.352941176,,,,,,,,,,,3.653846154,,1.352941176,,,,,
,2.769230769,,1.294117647,,,,,,,,,,,,,,,,,,
,3.68,,1.470588235,,,,,,,,,,,,,,,,,,
,3.653846154,,1.352941176,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
