D-Q2,D-Q3,D-Q4,D-Q5,D-Q6,Q6_4_TEXT,D-Q7,SC-Q1,SC-Q2,SC-Q3,SC-Q4,SC-Q5,SC-Q6,SC-Q7,SC-Q8,SC-Q9,SC-Q10,SC-Q11,SC-Q12,SC-Q13,SC-Q14,SC-Q15,SC-Q16,SC-Q17,SC-Q18,SC-Q19,SC-Q20,SC-Q21,SC-Q22,SC-Q23,SC-Q24,SC-Q25,SC-Q26
Over 26,Female,Black or African American,Graduate Student,Heterosexual,,"75-99,999",3,3,2,3,3,3,2,3,3,2,3,2,4,2,2,3,2,4,2,3,3,2,2,3,3,2
21-23,Male,Black or African American,Senior,Heterosexual,,"75-99,999",1,1,4,1,5,1,4,1,5,5,1,4,2,4,3,2,4,3,3,4,3,3,3,4,3,4
18 - 20,Female,Black or African American,Freshman,Heterosexual,,"under 24,999",4,4,3,4,5,4,2,3,3,3,3,5,3,3,5,2,3,3,5,2,3,3,3,3,3,2
21-23,Female,Asian/Pacific Islander,Senior,Other (Please specify),Pansexual,"50-74,999",2,3,4,1,2,1,3,1,4,3,4,3,2,4,2,2,3,2,5,4,1,2,4,4,1,3
21-23,Female,Black or African American,Senior,Heterosexual,,"under 24,999",4,2,2,2,4,3,5,4,5,3,3,1,2,4,5,3,4,5,2,2,3,3,3,3,3,3
18 - 20,Female,Asian/Pacific Islander,Junior,Heterosexual,,"under 24,999",4,4,2,4,3,4,2,3,4,2,3,3,5,4,1,3,3,2,3,3,3,3,5,3,2,4
18 - 20,Female,Black or African American,Junior,Bisexual,,"25-49,999",2,3,2,2,3,1,1,2,3,1,3,3,2,3,2,2,3,1,3,1,1,3,3,3,2,3
18 - 20,Female,Black or African American,Junior,Heterosexual,,"100-124,999",4,3,4,4,4,3,4,3,5,3,4,3,3,3,3,3,3,3,4,4,3,2,4,4,3,3
18 - 20,Female,Black or African American,Sophmore,Heterosexual,,"50-74,999",3,1,2,2,2,3,2,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2,3,1,2,2
18 - 20,Female,Asian/Pacific Islander,Freshman,Homosexual,,"25-49,999",2,3,2,3,4,1,2,2,3,4,3,5,4,2,5,2,4,2,4,4,2,1,4,4,1,4
18 - 20,Female,Asian/Pacific Islander,Junior,Homosexual,,"25-49,999",3,3,3,3,4,1,4,1,3,3,4,4,3,4,2,2,2,1,2,4,2,2,2,3,1,3
Over 26,Female,Asian/Pacific Islander,Sophmore,Heterosexual,,"over 125,000",4,3,2,4,2,4,3,2,4,3,2,2,3,4,3,2,3,2,2,2,3,2,2,2,2,3
18 - 20,Female,Hispanic,Sophmore,Bisexual,,"over 125,000",3,3,3,3,3,3,2,2,3,3,3,2,3,2,4,2,3,2,3,4,2,3,2,4,3,2
24-26,Male,Asian/Pacific Islander,Graduate Student,Heterosexual,,"25-49,999",3,3,2,3,3,2,2,2,3,2,1,2,2,2,2,3,2,3,3,2,1,2,3,4,1,3
Over 26,Female,Asian/Pacific Islander,Graduate Student,Heterosexual,,"75-99,999",3,3,3,4,4,3,1,2,4,3,5,2,5,5,5,4,3,5,3,3,5,,5,5,4,3
18 - 20,Female,Black or African American,Sophmore,Heterosexual,,"50-74,999",4,4,3,4,4,4,3,4,3,2,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3
