ParticipentID,D-Q1,D-Q2,D-Q3,D-Q4,D-Q5,D-Q6,Q6_4_TEXT,D-Q7,SC-Q1,SC-Q2,SC-Q3,SC-Q4,SC-Q5,SC-Q6,SC-Q7,SC-Q8,SC-Q9,SC-Q10,SC-Q11,SC-Q12,SC-Q13,SC-Q14,SC-Q15,SC-Q16,SC-Q17,SC-Q18,SC-Q19,SC-Q20,SC-Q21,SC-Q22,SC-Q23,SC-Q24,SC-Q25,SC-Q26,ED-Q1,ED-Q2,ED-Q3,ED-Q4,ED-Q5,ED-Q6,ED-Q7,ED-Q8,ED-Q9,ED-Q10,ED-Q11,ED-Q12,ED-Q13,ED-Q14,ED-Q15,ED-Q16,ED-Q17,Q52
1,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",Over 26,Female,Black or African American,Graduate Student,Heterosexual,,"75-99,999",3,3,2,3,3,3,2,3,3,2,3,2,4,2,2,3,2,4,2,3,3,2,2,3,3,2,3,3,1,1,1,1,1,2,3,2,3,1,2,1,1,2,1,
2,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",21-23,Male,Black or African American,Senior,Heterosexual,,"75-99,999",1,1,4,1,5,1,4,1,5,5,1,4,2,4,3,2,4,3,3,4,3,3,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,"Honestly, it might just be me not looking too deep into things, cause a lot of my friends who are also black as well have had a lot of experiences of discrimination or hate aimed towards them because they are black. I don't feel like I'm any different from them, so I'm always left wondering if maybe I hadn't noticed how people think of the color of my skin rather than the person itself. I've been told by many people that I've been surrounded by that as a person in my time at Winona, I am a phenomenal person to be around since I'm always keeping things lowkey and fresh and entertaining because that's just who I am. But when I hear some of my friends who also happen to be black talk about their experiences, I genuinely get a bit shocked seeing how their experiences differ from my own since a lot of the people that I greatly consider friends or trusting have done and said some things that didn't sit well with them, or make an unfair misjudgment on that person's character. I don't think that either side is terrible people, and I honestly don't want to think poorly of people that I spent most of my college life with and want the people I love and care about to be able to get along. It may be a pipe dream, but I genuinely think it's possible with the wide variety of people I've met, and interacted with whether it would be online or offline. But you can't please or cater to everyone sadly, and sometimes, some people genuinely shouldn't interact with each other, there are certainly a few individuals that I legit hate that maybe someone might be friends with, but I'm not going to try and force them to just not associate with them unless I have a valid reason to give. But that's just how I feel about all of this in general, my experiences are much different from those who share the same skin color that I do which leads to things that I may not have thought about since I've been treated differently in comparison to them and I just want to be able to have us all get along and understand each other."
3,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Black or African American,Freshman,Heterosexual,,"under 24,999",4,4,3,4,5,4,2,3,3,3,3,5,3,3,5,2,3,3,5,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",21-23,Female,Asian/Pacific Islander,Senior,Other (Please specify),Pansexual,"50-74,999",2,3,4,1,2,1,3,1,4,3,4,3,2,4,2,2,3,2,5,4,1,2,4,4,1,3,3,3,2,2,4,2,2,4,5,5,5,4,2,1,1,5,1,"My experiences are not big or physically scary, but sometimes it is the delivery and tone on which they deliver their statements or questions towards me due to being not the white majority. They simply assume because I am a woman of color that I am rude or have bad intentions to be selfish, whereas, that is not the reason. I have my own valid human emotions and actions that should be respected and not asked."
5,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",21-23,Female,Black or African American,Senior,Heterosexual,,"under 24,999",4,2,2,2,4,3,5,4,5,3,3,1,2,4,5,3,4,5,2,2,3,3,3,3,3,3,1,2,1,3,4,2,2,3,3,4,2,1,3,2,2,2,1,
6,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Asian/Pacific Islander,Junior,Heterosexual,,"under 24,999",4,4,2,4,3,4,2,3,4,2,3,3,5,4,1,3,3,2,3,3,3,3,5,3,2,4,3,2,2,1,1,1,1,4,3,1,5,3,2,4,1,1,1,"
For one of my required social work courses, the class was required to watch an Asian American documentary and write a reflection about it on a discussion post. One of the classmates wrote a very racist post. Containing the ideas that Asian Americans are dog eaters, they have to put on a white face to get along, and overall very depressing. I was enraged, I believed that the student should have been expelled that they would be kicked out of the social work program, but as the professor shared the racist student, only dealt with minor consequences, such as a public apology to the class, and to watch white privilege videos, and the professor emphasized that this should be a learning outcome. I strongly feel that if it were any other student, they would have a dealt with harsher punishment. After two weeks of discussing the racism of the classmate, the professor concluded that we should all move on, which, also made me very upset and I sent an email to the racist student, and professor stating

“ I found that your post was very disturbing and is extremely disrespectful towards all Asian Americans. I have not been able come to terms with what was done but I hope that you will be educated in anti-racism and grow from generalizing/ stereotyping minority groups. I strongly feel that your harmful post whether unintentionally or not, came from a place of arrogance, animosity and/or bias. As one of the few students of color in class, I now find it difficult to feel safe in the educational setting that we all as a class share. To add, as someone who holds position of power, I expect that you will be using your privilege for the better good in the nearby future and will continue to practice ethical behavior. Lastly, I am intrigued as your apology may not be sincere due to the assumption that you used artificial intelligence to generate your message” 

I’ve even approach professor in person, and all, she said to me was that I have a powerful voice, and I should continue to voice my concerns. If this is true, I feel that the situation shouldn’t have been just swept under the rug. I strongly feel that the social work faculty is letting the racist students get away with racism, simply because the student is white. I have contributed my emotions via email and in person, but as a first generation person of color my voice has gone nowhere."
7,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Black or African American,Junior,Bisexual,,"25-49,999",2,3,2,2,3,1,1,2,3,1,3,3,2,3,2,2,3,1,3,1,1,3,3,3,2,3,3,3,1,1,3,1,1,4,2,3,5,1,2,1,1,2,3,
8,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Black or African American,Junior,Heterosexual,,"100-124,999",4,3,4,4,4,3,4,3,5,3,4,3,3,3,3,3,3,3,4,4,3,2,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
9,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Black or African American,Sophmore,Heterosexual,,"50-74,999",3,1,2,2,2,3,2,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,
10,"I am a BIPOC (Black, Indigenous, or Person of Color) and I agree to participate in this research and will continue with this survey",18 - 20,Female,Asian/Pacific Islander,Freshman,Homosexual,,"25-49,999",2,3,2,3,4,1,2,2,3,4,3,5,4,2,5,2,4,2,4,4,2,1,4,4,1,4,1,2,1,1,2,1,1,3,2,1,1,3,1,2,1,2,1,"I've always had a hard time fitting in wherever I go whether it's school or work. I know a part of that could be because I'm very shy, but mixed with discrimination and people's thoughts about colored people, it's hard."
