Self Compassion ,Ethic Descrimination,SC_SD,SC_SJ,SC_CH,SC_I,SC_M,SC_OI,ED_ER,ED_SD,ED_DSW,ED_TA,ED_UFP
3.0625,1.875,3.4375,3.0625,2.6875,2.9375,3.5,2.875,2.1875,1.8125,1.875,1.125,1.5625
2.875,1.875,2.875,2.3125,2.625,3.0625,3.125,2.5625,2.1875,1.0625,1.875,1.1875,
2.6875,1.125,3.0625,3,2.6875,2.75,2.875,3,1.5,1.6875,1.875,1.125,
2.9375,1.1875,3.25,2.5,3,2.375,2.466667,3.375,1.6875,1.4375,1.375,1.125,
3.4375,1.5625,2.9375,2.5625,,,,,,,,,
2.5625,1.125,,,,,,,,,,,
2.625,1.125,,,,,,,,,,,
2.3125,2.1875,,,,,,,,,,,
3.5,1.875,,,,,,,,,,,
2.6875,1.8125,,,,,,,,,,,
3,2.1875,,,,,,,,,,,
2.875,1.5,,,,,,,,,,,
3.0625,1.6875,,,,,,,,,,,
3.125,1.375,,,,,,,,,,,
3,1.0625,,,,,,,,,,,
2.5,1.6875,,,,,,,,,,,
2.875,1.4375,,,,,,,,,,,
2.75,,,,,,,,,,,,
3.0625,,,,,,,,,,,,
3,,,,,,,,,,,,
2.5625,,,,,,,,,,,,
2.466667,,,,,,,,,,,,
3.25,,,,,,,,,,,,
3.375,,,,,,,,,,,,
2.375,,,,,,,,,,,,
2.9375,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
