StationID,Time,Measure,Temp,Latitude ,Longitude,Elevation
AE000041196,20010101,TMAX,238,25.333,55.517,34.0
AE000041196,20010101,TMIN,121,25.333,55.517,34.0
AE000041196,20010101,TAVG,181,25.333,55.517,34.0
AEM00041194,20010101,TMIN,137,25.255,55.364,10.4
AEM00041194,20010101,TAVG,188,25.255,55.364,10.4
AEM00041217,20010101,TMAX,241,24.433,54.651,26.8
AEM00041217,20010101,TMIN,126,24.433,54.651,26.8
AEM00041217,20010101,TAVG,181,24.433,54.651,26.8
AEM00041218,20010101,TAVG,167,24.262,55.609,264.9
AG000060390,20010101,TMAX,217,36.7167,3.25,24.0
AG000060390,20010101,TAVG,81,36.7167,3.25,24.0
AG000060590,20010101,TMAX,188,30.5667,2.8667,397.0
AG000060590,20010101,TMIN,24,30.5667,2.8667,397.0
AG000060590,20010101,TAVG,101,30.5667,2.8667,397.0
AG000060611,20010101,TMAX,137,28.05,9.6331,561.0
AG000060611,20010101,TMIN,27,28.05,9.6331,561.0
AG000060611,20010101,TAVG,94,28.05,9.6331,561.0
AG000060680,20010101,TMAX,231,22.8,5.4331,1362.0
AG000060680,20010101,TMIN,64,22.8,5.4331,1362.0
AG000060680,20010101,TAVG,151,22.8,5.4331,1362.0
AGE00147718,20010101,TMAX,140,34.85,5.72,125.0
AGE00147718,20010101,TMIN,40,34.85,5.72,125.0
AGE00147718,20010101,TAVG,86,34.85,5.72,125.0
AGM00060351,20010101,TMAX,172,36.795,5.874,11.0
AGM00060351,20010101,TAVG,109,36.795,5.874,11.0
AGM00060355,20010101,TMAX,165,36.933,6.95,7.0
AGM00060355,20010101,TMIN,72,36.933,6.95,7.0
AGM00060355,20010101,PRCP,10,36.933,6.95,7.0
AGM00060355,20010101,TAVG,110,36.933,6.95,7.0
AGM00060360,20010101,TMIN,60,36.822,7.809,4.9
AGM00060360,20010101,PRCP,30,36.822,7.809,4.9
AGM00060360,20010101,TAVG,98,36.822,7.809,4.9
AGM00060402,20010101,TMIN,35,36.712,5.07,6.1
AGM00060402,20010101,PRCP,41,36.712,5.07,6.1
AGM00060402,20010101,TAVG,97,36.712,5.07,6.1
AGM00060419,20010101,TMAX,97,36.276,6.62,690.4
AGM00060419,20010101,TMIN,-1,36.276,6.62,690.4
AGM00060419,20010101,PRCP,20,36.276,6.62,690.4
AGM00060419,20010101,TAVG,45,36.276,6.62,690.4
AGM00060425,20010101,TMAX,170,36.213,1.332,141.1
AGM00060425,20010101,TAVG,122,36.213,1.332,141.1
AGM00060430,20010101,TMAX,175,36.3,2.233,721.0
AGM00060430,20010101,TAVG,139,36.3,2.233,721.0
AGM00060444,20010101,TMAX,101,36.067,4.767,930.0
AGM00060444,20010101,TAVG,43,36.067,4.767,930.0
AGM00060445,20010101,TMAX,88,36.178,5.324,1050.0
AGM00060445,20010101,TMIN,-27,36.178,5.324,1050.0
AGM00060445,20010101,PRCP,10,36.178,5.324,1050.0
AGM00060445,20010101,TAVG,28,36.178,5.324,1050.0
AGM00060468,20010101,TMAX,114,35.55,6.183,1052.0
AGM00060468,20010101,TAVG,33,35.55,6.183,1052.0
AGM00060475,20010101,TMAX,122,35.432,8.121,811.1
AGM00060475,20010101,TMIN,5,35.432,8.121,811.1
AGM00060475,20010101,TAVG,56,35.432,8.121,811.1
AGM00060490,20010101,TMAX,205,35.624,-0.621,89.9
AGM00060490,20010101,TAVG,111,35.624,-0.621,89.9
AGM00060506,20010101,TMAX,207,35.6,0.3,476.0
AGM00060506,20010101,TMIN,25,35.6,0.3,476.0
AGM00060506,20010101,TAVG,108,35.6,0.3,476.0
AGM00060511,20010101,TMIN,3,35.341,1.463,989.1
AGM00060511,20010101,TAVG,82,35.341,1.463,989.1
AGM00060515,20010101,TMAX,112,35.333,4.206,459.0
AGM00060515,20010101,TMIN,-24,35.333,4.206,459.0
AGM00060515,20010101,TAVG,68,35.333,4.206,459.0
AGM00060518,20010101,TMAX,192,35.3,-1.35,70.0
AGM00060518,20010101,TMIN,120,35.3,-1.35,70.0
AGM00060518,20010101,TAVG,155,35.3,-1.35,70.0
AGM00060531,20010101,TMAX,223,35.017,-1.45,248.1
AGM00060531,20010101,TMIN,56,35.017,-1.45,248.1
AGM00060531,20010101,TAVG,132,35.017,-1.45,248.1
AGM00060535,20010101,TMAX,154,34.683,3.25,1144.0
AGM00060535,20010101,TMIN,0,34.683,3.25,1144.0
AGM00060535,20010101,TAVG,80,34.683,3.25,1144.0
AGM00060549,20010101,TMAX,176,33.536,-0.242,1175.0
AGM00060549,20010101,TAVG,113,33.536,-0.242,1175.0
AGM00060550,20010101,TMAX,161,33.667,1.0,1347.0
AGM00060550,20010101,TMIN,0,33.667,1.0,1347.0
AGM00060550,20010101,PRCP,8,33.667,1.0,1347.0
AGM00060550,20010101,TAVG,88,33.667,1.0,1347.0
AGM00060555,20010101,TMAX,160,33.068,6.089,85.0
AGM00060555,20010101,TAVG,76,33.068,6.089,85.0
AGM00060559,20010101,TMIN,12,33.511,6.777,61.9
AGM00060559,20010101,TAVG,81,33.511,6.777,61.9
AGM00060560,20010101,TMAX,195,32.767,-0.6,1059.0
AGM00060560,20010101,TMIN,-13,32.767,-0.6,1059.0
AGM00060560,20010101,TAVG,102,32.767,-0.6,1059.0
AGM00060566,20010101,TMAX,181,32.384,3.794,460.9
AGM00060566,20010101,TMIN,45,32.384,3.794,460.9
AGM00060566,20010101,TAVG,110,32.384,3.794,460.9
AGM00060571,20010101,TMAX,198,31.646,-2.27,811.1
AGM00060571,20010101,TAVG,140,31.646,-2.27,811.1
AGM00060580,20010101,TMAX,171,31.917,5.413,150.0
AGM00060580,20010101,TMIN,25,31.917,5.413,150.0
AGM00060580,20010101,TAVG,95,31.917,5.413,150.0
AGM00060581,20010101,TMAX,155,31.673,6.14,141.1
AGM00060581,20010101,TAVG,89,31.673,6.14,141.1
AGM00060602,20010101,TMAX,233,30.133,-2.167,505.0
AGM00060602,20010101,TMIN,90,30.133,-2.167,505.0
AGM00060602,20010101,TAVG,174,30.133,-2.167,505.0
AGM00060607,20010101,TMAX,220,29.237,0.276,313.0
